service_id,date,exception_type
1,20111026,1
1,20111027,1
1,20111028,1
1,20111031,1
1,20111101,1
1,20111102,1
1,20111103,1
1,20111104,1
1,20111107,1
1,20111108,1
1,20111109,1
1,20111110,1
1,20111111,1
1,20111114,1
1,20111115,1
1,20111116,1
1,20111117,1
1,20111118,1
1,20111121,1
1,20111122,1
1,20111123,1
1,20111125,1
1,20111128,1
1,20111129,1
1,20111130,1
1,20111201,1
1,20111202,1
1,20111205,1
1,20111206,1
1,20111207,1
1,20111208,1
1,20111209,1
1,20111212,1
1,20111213,1
1,20111214,1
1,20111215,1
1,20111216,1
1,20111219,1
1,20111220,1
1,20111221,1
1,20111222,1
1,20111223,1
1,20111226,1
1,20111227,1
1,20111228,1
1,20111229,1
1,20111230,1
1,20120102,1
1,20120103,1
1,20120104,1
1,20120105,1
1,20120106,1
1,20120109,1
1,20120110,1
1,20120111,1
1,20120112,1
1,20120113,1
1,20120116,1
1,20120117,1
1,20120118,1
1,20120119,1
1,20120120,1
1,20120123,1
1,20120124,1
1,20120125,1
1,20120126,1
1,20120127,1
1,20120130,1
1,20120131,1
1,20120201,1
1,20120202,1
1,20120203,1
1,20120206,1
1,20120207,1
1,20120208,1
1,20120209,1
1,20120210,1
1,20120213,1
1,20120214,1
1,20120215,1
1,20120216,1
1,20120217,1
1,20120220,1
1,20120221,1
1,20120222,1
1,20120223,1
1,20120224,1
1,20120227,1
1,20120228,1
1,20120229,1
1,20120301,1
1,20120302,1
1,20120305,1
1,20120306,1
1,20120307,1
1,20120308,1
1,20120309,1
1,20120312,1
1,20120313,1
1,20120314,1
1,20120315,1
1,20120316,1
1,20120319,1
1,20120320,1
1,20120321,1
1,20120322,1
1,20120323,1
1,20120326,1
1,20120327,1
1,20120328,1
1,20120329,1
1,20120330,1
1,20120402,1
1,20120403,1
1,20120404,1
1,20120405,1
1,20120406,1
1,20120409,1
1,20120410,1
1,20120411,1
1,20120412,1
1,20120413,1
1,20120416,1
1,20120417,1
1,20120418,1
1,20120419,1
1,20120420,1
2,20111111,1
2,20111112,1
2,20111118,1
2,20111119,1
2,20111123,1
2,20111125,1
2,20111126,1
2,20111202,1
2,20111203,1
2,20111209,1
2,20111210,1
2,20111216,1
2,20111217,1
2,20111223,1
2,20111224,1
2,20111225,1
2,20111230,1
2,20111231,1
2,20120101,1
2,20120106,1
2,20120107,1
2,20120113,1
2,20120114,1
2,20120115,1
2,20120120,1
2,20120121,1
2,20120127,1
2,20120128,1
2,20120203,1
2,20120204,1
2,20120210,1
2,20120211,1
2,20120217,1
2,20120218,1
2,20120219,1
2,20120224,1
2,20120225,1
2,20120302,1
2,20120303,1
2,20120309,1
2,20120310,1
2,20120316,1
2,20120317,1
2,20120323,1
2,20120324,1
2,20120330,1
2,20120331,1
2,20120406,1
2,20120407,1
2,20120413,1
2,20120414,1
2,20120420,1
2,20120421,1
3,20111028,1
3,20111104,1
4,20111110,1
4,20111111,1
5,20111107,1
5,20111108,1
5,20111109,1
5,20111110,1
5,20111111,1
5,20111114,1
5,20111115,1
5,20111116,1
5,20111117,1
5,20111118,1
5,20111121,1
5,20111122,1
5,20111123,1
5,20111125,1
5,20111128,1
5,20111129,1
5,20111130,1
5,20111201,1
5,20111202,1
5,20111205,1
5,20111206,1
5,20111207,1
5,20111208,1
5,20111209,1
5,20111212,1
5,20111213,1
5,20111214,1
5,20111215,1
5,20111216,1
5,20111219,1
5,20111220,1
5,20111221,1
5,20111222,1
5,20111223,1
5,20111227,1
5,20111228,1
5,20111229,1
5,20111230,1
5,20120103,1
5,20120104,1
5,20120105,1
5,20120106,1
5,20120109,1
5,20120110,1
5,20120111,1
5,20120112,1
5,20120113,1
5,20120117,1
5,20120118,1
5,20120119,1
5,20120120,1
5,20120123,1
5,20120124,1
5,20120125,1
5,20120126,1
5,20120127,1
5,20120130,1
5,20120131,1
5,20120201,1
5,20120202,1
5,20120203,1
5,20120206,1
5,20120207,1
5,20120208,1
5,20120209,1
5,20120210,1
5,20120213,1
5,20120214,1
5,20120215,1
5,20120216,1
5,20120217,1
5,20120221,1
5,20120222,1
5,20120223,1
5,20120224,1
5,20120227,1
5,20120228,1
5,20120229,1
5,20120301,1
5,20120302,1
5,20120305,1
5,20120306,1
5,20120307,1
5,20120308,1
5,20120309,1
5,20120312,1
5,20120313,1
5,20120314,1
5,20120315,1
5,20120316,1
5,20120319,1
5,20120320,1
5,20120321,1
5,20120322,1
5,20120323,1
5,20120326,1
5,20120327,1
5,20120328,1
5,20120329,1
5,20120330,1
5,20120402,1
5,20120403,1
5,20120404,1
5,20120405,1
5,20120406,1
5,20120409,1
5,20120410,1
5,20120411,1
5,20120412,1
5,20120413,1
5,20120416,1
5,20120417,1
5,20120418,1
5,20120419,1
5,20120420,1
6,20111028,1
6,20111029,1
6,20111104,1
6,20111105,1
7,20111026,1
7,20111027,1
7,20111031,1
7,20111101,1
7,20111102,1
7,20111103,1
8,20111026,1
8,20111027,1
8,20111028,1
8,20111031,1
8,20111101,1
8,20111102,1
8,20111103,1
8,20111104,1
9,20111106,1
9,20111112,1
9,20111113,1
9,20111119,1
9,20111120,1
9,20111124,1
9,20111126,1
9,20111127,1
9,20111203,1
9,20111204,1
9,20111210,1
9,20111211,1
9,20111217,1
9,20111218,1
9,20111224,1
9,20111225,1
9,20111226,1
9,20111231,1
9,20120101,1
9,20120102,1
9,20120107,1
9,20120108,1
9,20120114,1
9,20120115,1
9,20120116,1
9,20120121,1
9,20120122,1
9,20120128,1
9,20120129,1
9,20120204,1
9,20120205,1
9,20120211,1
9,20120212,1
9,20120218,1
9,20120219,1
9,20120220,1
9,20120225,1
9,20120226,1
9,20120303,1
9,20120304,1
9,20120310,1
9,20120311,1
9,20120317,1
9,20120318,1
9,20120324,1
9,20120325,1
9,20120331,1
9,20120401,1
9,20120407,1
9,20120408,1
9,20120414,1
9,20120415,1
9,20120421,1
9,20120422,1
10,20111030,1
11,20111029,1
11,20111030,1
11,20111105,1
12,20111106,1
12,20111107,1
12,20111108,1
12,20111109,1
12,20111110,1
12,20111113,1
12,20111114,1
12,20111115,1
12,20111116,1
12,20111117,1
12,20111120,1
12,20111121,1
12,20111122,1
12,20111124,1
12,20111127,1
12,20111128,1
12,20111129,1
12,20111130,1
12,20111201,1
12,20111204,1
12,20111205,1
12,20111206,1
12,20111207,1
12,20111208,1
12,20111211,1
12,20111212,1
12,20111213,1
12,20111214,1
12,20111215,1
12,20111218,1
12,20111219,1
12,20111220,1
12,20111221,1
12,20111222,1
12,20111226,1
12,20111227,1
12,20111228,1
12,20111229,1
12,20120102,1
12,20120103,1
12,20120104,1
12,20120105,1
12,20120108,1
12,20120109,1
12,20120110,1
12,20120111,1
12,20120112,1
12,20120116,1
12,20120117,1
12,20120118,1
12,20120119,1
12,20120122,1
12,20120123,1
12,20120124,1
12,20120125,1
12,20120126,1
12,20120129,1
12,20120130,1
12,20120131,1
12,20120201,1
12,20120202,1
12,20120205,1
12,20120206,1
12,20120207,1
12,20120208,1
12,20120209,1
12,20120212,1
12,20120213,1
12,20120214,1
12,20120215,1
12,20120216,1
12,20120220,1
12,20120221,1
12,20120222,1
12,20120223,1
12,20120226,1
12,20120227,1
12,20120228,1
12,20120229,1
12,20120301,1
12,20120304,1
12,20120305,1
12,20120306,1
12,20120307,1
12,20120308,1
12,20120311,1
12,20120312,1
12,20120313,1
12,20120314,1
12,20120315,1
12,20120318,1
12,20120319,1
12,20120320,1
12,20120321,1
12,20120322,1
12,20120325,1
12,20120326,1
12,20120327,1
12,20120328,1
12,20120329,1
12,20120401,1
12,20120402,1
12,20120403,1
12,20120404,1
12,20120405,1
12,20120408,1
12,20120409,1
12,20120410,1
12,20120411,1
12,20120412,1
12,20120415,1
12,20120416,1
12,20120417,1
12,20120418,1
12,20120419,1
12,20120422,1
13,20111226,1
13,20120102,1
13,20120116,1
13,20120220,1
14,20111106,1
14,20111112,1
14,20111113,1
14,20111119,1
14,20111120,1
14,20111124,1
14,20111126,1
14,20111127,1
14,20111203,1
14,20111204,1
14,20111210,1
14,20111211,1
14,20111217,1
14,20111218,1
14,20111224,1
14,20111225,1
14,20111226,1
14,20120101,1
14,20120102,1
14,20120107,1
14,20120108,1
14,20120114,1
14,20120115,1
14,20120116,1
14,20120121,1
14,20120122,1
14,20120128,1
14,20120129,1
14,20120204,1
14,20120205,1
14,20120211,1
14,20120212,1
14,20120218,1
14,20120219,1
14,20120220,1
14,20120225,1
14,20120226,1
14,20120303,1
14,20120304,1
14,20120310,1
14,20120311,1
14,20120317,1
14,20120318,1
14,20120324,1
14,20120325,1
14,20120331,1
14,20120401,1
14,20120407,1
14,20120408,1
14,20120414,1
14,20120415,1
14,20120421,1
14,20120422,1
15,20111029,1
15,20111105,1
15,20111112,1
15,20111119,1
15,20111125,1
15,20111126,1
15,20111203,1
15,20111210,1
15,20111217,1
15,20111224,1
15,20111231,1
15,20120107,1
15,20120114,1
15,20120121,1
15,20120128,1
15,20120204,1
15,20120211,1
15,20120218,1
15,20120225,1
15,20120303,1
15,20120310,1
15,20120317,1
15,20120324,1
15,20120331,1
15,20120407,1
15,20120414,1
15,20120421,1
16,20111030,1
16,20111106,1
16,20111113,1
16,20111120,1
16,20111124,1
16,20111127,1
16,20111204,1
16,20111211,1
16,20111218,1
16,20111225,1
16,20120101,1
16,20120108,1
16,20120115,1
16,20120122,1
16,20120129,1
16,20120205,1
16,20120212,1
16,20120219,1
16,20120226,1
16,20120304,1
16,20120311,1
16,20120318,1
16,20120325,1
16,20120401,1
16,20120408,1
16,20120415,1
16,20120422,1
17,20111026,1
17,20111027,1
17,20111028,1
17,20111031,1
17,20111101,1
17,20111102,1
17,20111103,1
17,20111104,1
17,20111107,1
17,20111108,1
17,20111109,1
17,20111110,1
17,20111111,1
17,20111114,1
17,20111115,1
17,20111116,1
17,20111117,1
17,20111118,1
17,20111121,1
17,20111122,1
17,20111123,1
17,20111128,1
17,20111129,1
17,20111130,1
17,20111201,1
17,20111202,1
17,20111205,1
17,20111206,1
17,20111207,1
17,20111208,1
17,20111209,1
17,20111212,1
17,20111213,1
17,20111214,1
17,20111215,1
17,20111216,1
17,20111219,1
17,20111220,1
17,20111221,1
17,20111222,1
17,20111223,1
17,20111226,1
17,20111227,1
17,20111228,1
17,20111229,1
17,20111230,1
17,20120102,1
17,20120103,1
17,20120104,1
17,20120105,1
17,20120106,1
17,20120109,1
17,20120110,1
17,20120111,1
17,20120112,1
17,20120113,1
17,20120116,1
17,20120117,1
17,20120118,1
17,20120119,1
17,20120120,1
17,20120123,1
17,20120124,1
17,20120125,1
17,20120126,1
17,20120127,1
17,20120130,1
17,20120131,1
17,20120201,1
17,20120202,1
17,20120203,1
17,20120206,1
17,20120207,1
17,20120208,1
17,20120209,1
17,20120210,1
17,20120213,1
17,20120214,1
17,20120215,1
17,20120216,1
17,20120217,1
17,20120220,1
17,20120221,1
17,20120222,1
17,20120223,1
17,20120224,1
17,20120227,1
17,20120228,1
17,20120229,1
17,20120301,1
17,20120302,1
17,20120305,1
17,20120306,1
17,20120307,1
17,20120308,1
17,20120309,1
17,20120312,1
17,20120313,1
17,20120314,1
17,20120315,1
17,20120316,1
17,20120319,1
17,20120320,1
17,20120321,1
17,20120322,1
17,20120323,1
17,20120326,1
17,20120327,1
17,20120328,1
17,20120329,1
17,20120330,1
17,20120402,1
17,20120403,1
17,20120404,1
17,20120405,1
17,20120406,1
17,20120409,1
17,20120410,1
17,20120411,1
17,20120412,1
17,20120413,1
17,20120416,1
17,20120417,1
17,20120418,1
17,20120419,1
17,20120420,1
18,20120101,1
19,20111231,1
20,20111026,1
20,20111027,1
20,20111030,1
20,20111031,1
20,20111101,1
20,20111102,1
20,20111103,1
21,20111124,1
22,20111124,1
22,20111226,1
22,20120102,1
22,20120116,1
22,20120220,1
23,20111111,1
23,20111118,1
23,20111125,1
23,20111202,1
23,20111209,1
23,20111216,1
23,20111223,1
23,20111230,1
23,20120106,1
23,20120113,1
23,20120120,1
23,20120127,1
23,20120203,1
23,20120210,1
23,20120217,1
23,20120224,1
23,20120302,1
23,20120309,1
23,20120316,1
23,20120323,1
23,20120330,1
23,20120406,1
23,20120413,1
23,20120420,1
24,20111107,1
24,20111108,1
24,20111109,1
24,20111110,1
24,20111114,1
24,20111115,1
24,20111116,1
24,20111117,1
24,20111121,1
24,20111122,1
24,20111123,1
24,20111128,1
24,20111129,1
24,20111130,1
24,20111201,1
24,20111205,1
24,20111206,1
24,20111207,1
24,20111208,1
24,20111212,1
24,20111213,1
24,20111214,1
24,20111215,1
24,20111219,1
24,20111220,1
24,20111221,1
24,20111222,1
24,20111227,1
24,20111228,1
24,20111229,1
24,20120103,1
24,20120104,1
24,20120105,1
24,20120109,1
24,20120110,1
