route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color
1,2,"","Princeton Shuttle",2,"",
2,2,"","Atlantic City Rail Line",2,"",
3,2,"","Montclair-Boonton Line",2,"",
4,2,"","Montclair-Boonton Line",2,"",
5,2,"","Hudson-Bergen Light Rail",0,"",
6,2,"","Main/Bergen County Line",2,"",
7,2,"","Port Jervis Line",2,"",
8,2,"","Morris & Essex Line",2,"",
9,2,"","Gladstone Branch",2,"",
10,2,"MNRG","",2,"",
11,2,"","Northeast Corridor",2,"",
12,2,"","North Jersey Coast Line",2,"",
13,2,"","North Jersey Coast Line",2,"",
14,2,"","Newark Light Rail",0,"",
15,2,"","Pascack Valley Line",2,"",
16,2,"","Princeton Shuttle",2,"",
17,2,"","Raritan Valley Line",2,"",
18,2,"","Riverline Light Rail",0,"",
19,2,"","Meadowlands Rail Line",2,"",
