trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
1,21:15:00,21:15:00,24070,1,0,0,0.0000
1,21:25:00,21:25:00,41586,2,0,0,2.9932
2,21:15:00,21:15:00,24070,1,0,0,0.0000
2,21:25:00,21:25:00,41586,2,0,0,2.9932
3,25:48:00,25:48:00,10,1,0,0,0.0000
3,25:56:00,25:56:00,2,2,0,0,5.3294
3,26:10:00,26:10:00,39,3,0,0,15.8562
3,26:20:00,26:20:00,55,4,0,0,26.7282
3,26:33:00,26:33:00,9,5,0,0,38.6989
3,26:40:00,26:40:00,71,6,0,0,44.7223
3,26:50:00,26:50:00,28,7,0,0,51.6182
3,27:20:00,27:20:00,1,8,0,0,59.3167
4,04:35:00,04:35:00,10,1,0,0,0.0000
4,04:44:00,04:44:00,2,2,0,0,5.3294
4,04:54:00,04:54:00,39,3,0,0,15.8562
4,05:04:00,05:04:00,55,4,0,0,26.7282
4,05:17:00,05:17:00,9,5,0,0,38.6989
4,05:24:00,05:24:00,71,6,0,0,44.7223
4,05:34:00,05:34:00,28,7,0,0,51.6182
4,06:04:00,06:04:00,1,8,0,0,59.3167
5,06:44:00,06:44:00,10,1,0,0,0.0000
5,06:53:00,06:53:00,2,2,0,0,5.3294
5,07:04:00,07:04:00,39,3,0,0,15.8562
5,07:15:00,07:15:00,55,4,0,0,26.7282
5,07:29:00,07:29:00,9,5,0,0,38.6989
5,07:37:00,07:37:00,71,6,0,0,44.7223
5,07:47:00,07:47:00,28,7,0,0,51.6182
5,08:18:00,08:18:00,1,8,0,0,59.3167
6,08:53:00,08:53:00,10,1,0,0,0.0000
6,09:02:00,09:02:00,2,2,0,0,5.3294
6,09:13:00,09:13:00,39,3,0,0,15.8562
6,09:24:00,09:24:00,55,4,0,0,26.7282
6,09:37:00,09:37:00,9,5,0,0,38.6989
6,09:45:00,09:45:00,71,6,0,0,44.7223
6,09:56:00,09:56:00,28,7,0,0,51.6182
6,10:26:00,10:26:00,1,8,0,0,59.3167
7,11:18:00,11:18:00,10,1,0,0,0.0000
7,11:27:00,11:27:00,2,2,0,0,5.3294
7,11:38:00,11:38:00,39,3,0,0,15.8562
7,11:49:00,11:49:00,55,4,0,0,26.7282
7,12:02:00,12:02:00,9,5,0,0,38.6989
7,12:09:00,12:09:00,71,6,0,0,44.7223
7,12:20:00,12:20:00,28,7,0,0,51.6182
7,12:50:00,12:50:00,1,8,0,0,59.3167
8,12:29:00,12:29:00,10,1,0,0,0.0000
8,12:38:00,12:38:00,2,2,0,0,5.3294
8,12:48:00,12:48:00,39,3,0,0,15.8562
8,12:59:00,12:59:00,55,4,0,0,26.7282
8,13:12:00,13:12:00,9,5,0,0,38.6989
8,13:20:00,13:20:00,71,6,0,0,44.7223
8,13:30:00,13:30:00,28,7,0,0,51.6182
8,14:00:00,14:00:00,1,8,0,0,59.3167
9,14:46:00,14:46:00,10,1,0,0,0.0000
9,14:55:00,14:55:00,2,2,0,0,5.3294
9,15:06:00,15:06:00,39,3,0,0,15.8562
9,15:17:00,15:17:00,55,4,0,0,26.7282
9,15:30:00,15:30:00,9,5,0,0,38.6989
9,15:38:00,15:38:00,71,6,0,0,44.7223
9,15:51:00,15:51:00,28,7,0,0,51.6182
9,16:20:00,16:20:00,1,8,0,0,59.3167
10,15:36:00,15:36:00,10,1,0,0,0.0000
10,15:45:00,15:45:00,2,2,0,0,5.3294
10,15:56:00,15:56:00,39,3,0,0,15.8562
10,16:07:00,16:07:00,55,4,0,0,26.7282
10,16:23:00,16:23:00,9,5,0,0,38.6989
10,16:34:00,16:34:00,71,6,0,0,44.7223
10,16:44:00,16:44:00,28,7,0,0,51.6182
10,17:15:00,17:15:00,1,8,0,0,59.3167
11,16:42:00,16:42:00,10,1,0,0,0.0000
11,16:51:00,16:51:00,2,2,0,0,5.3294
11,17:02:00,17:02:00,39,3,0,0,15.8562
11,17:13:00,17:13:00,55,4,0,0,26.7282
11,17:26:00,17:26:00,9,5,0,0,38.6989
11,17:34:00,17:34:00,71,6,0,0,44.7223
11,17:44:00,17:44:00,28,7,0,0,51.6182
11,18:16:00,18:16:00,1,8,0,0,59.3167
12,17:52:00,17:52:00,10,1,0,0,0.0000
12,18:01:00,18:01:00,2,2,0,0,5.3294
12,18:12:00,18:12:00,39,3,0,0,15.8562
12,18:23:00,18:23:00,55,4,0,0,26.7282
12,18:41:00,18:41:00,9,5,0,0,38.6989
12,18:48:00,18:48:00,71,6,0,0,44.7223
12,18:59:00,18:59:00,28,7,0,0,51.6182
12,19:30:00,19:30:00,1,8,0,0,59.3167
13,20:10:00,20:10:00,10,1,0,0,0.0000
13,20:19:00,20:19:00,2,2,0,0,5.3294
13,20:34:00,20:34:00,39,3,0,0,15.8562
13,20:45:00,20:45:00,55,4,0,0,26.7282
13,20:58:00,20:58:00,9,5,0,0,38.6989
13,21:05:00,21:05:00,71,6,0,0,44.7223
13,21:16:00,21:16:00,28,7,0,0,51.6182
13,21:46:00,21:46:00,1,8,0,0,59.3167
14,22:33:00,22:33:00,10,1,0,0,0.0000
14,22:42:00,22:42:00,2,2,0,0,5.3294
14,22:53:00,22:53:00,39,3,0,0,15.8562
14,23:04:00,23:04:00,55,4,0,0,26.7282
14,23:17:00,23:17:00,9,5,0,0,38.6989
14,23:29:00,23:29:00,71,6,0,0,44.7223
14,23:40:00,23:40:00,28,7,0,0,51.6182
14,24:10:00,24:10:00,1,8,0,0,59.3167
15,06:41:00,06:41:00,10,1,0,0,0.0000
15,06:50:00,06:50:00,2,2,0,0,5.3294
15,07:01:00,07:01:00,39,3,0,0,15.8562
15,07:12:00,07:12:00,55,4,0,0,26.7282
15,07:25:00,07:25:00,9,5,0,0,38.6989
15,07:33:00,07:33:00,71,6,0,0,44.7223
15,07:43:00,07:43:00,28,7,0,0,51.6182
